Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,0,1,0.00673,0.00669,100000,669,99378,7058322,70.58,70.65
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,1,4,5e-04,0.00198,99331,197,396858,6958945,70.06,70.12
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,5,5,0.00035,0.00176,99134,174,495235,6562087,66.19,66.26
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,10,5,4e-04,0.00201,98960,199,494302,6066852,61.31,61.37
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,15,5,0.00115,0.00575,98761,568,492385,5572549,56.42,56.49
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,20,5,0.00155,0.00773,98193,759,489068,5080164,51.74,51.8
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,25,5,0.00172,0.00854,97434,832,485090,4591097,47.12,47.19
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,30,5,0.00213,0.01058,96602,1022,480455,4106007,42.5,42.57
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,35,5,0.00269,0.01337,95580,1278,474705,3625552,37.93,38
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,40,5,0.00366,0.01815,94302,1712,467230,3150847,33.41,33.48
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,45,5,0.00492,0.02429,92590,2249,457328,2683617,28.98,29.05
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,50,5,0.00809,0.03965,90341,3582,442750,2226289,24.64,24.72
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,55,5,0.01299,0.0629,86759,5457,420152,1783539,20.56,20.63
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,60,5,0.02185,0.1036,81302,8423,385452,1363387,16.77,16.85
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,65,5,0.03389,0.15623,72879,11386,335930,977934,13.42,13.51
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,70,5,0.05106,0.22638,61493,13921,272662,642004,10.44,10.55
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,75,5,0.08216,0.34079,47572,16212,197330,369342,7.76,7.91
