Country,Region,Residence,Ethnicity,SocDem,Version,Ref-ID,Year1,Year2,TypeLT,Sex,Age,AgeInt,m(x),q(x),l(x),d(x),L(x),T(x),e(x),e(x)Orig
MYS,0,0,0,0,1,1488.01,2001,2001,4,1,80,99,0.18231,1,31360,31360,172012,172012,5.49,5.7
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,0,1,0.00563,0.0056,100000,560,99477,7507044,75.07,75.14
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,1,4,0.00043,0.00172,99440,171,397335,7407567,74.49,74.56
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,5,5,0.00024,0.00121,99269,120,496045,7010232,70.62,70.69
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,10,5,0.00026,0.00129,99149,128,495425,6514187,65.7,65.77
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,15,5,4e-04,0.00199,99021,197,494612,6018762,60.78,60.85
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,20,5,0.00049,0.00243,98824,240,493520,5524149,55.9,55.96
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,25,5,0.00056,0.00279,98584,275,492232,5030629,51.03,51.09
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,30,5,0.00075,0.00373,98309,367,490628,4538397,46.16,46.23
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,35,5,0.00111,0.00551,97942,540,488360,4047769,41.33,41.39
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,40,5,0.00179,0.00889,97402,866,484845,3559409,36.54,36.61
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,45,5,0.00283,0.01405,96536,1356,479290,3074564,31.85,31.91
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,50,5,0.00498,0.02462,95180,2343,470042,2595274,27.27,27.33
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,55,5,0.0082,0.04016,92837,3728,454865,2125232,22.89,22.96
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,60,5,0.014,0.06761,89109,6025,430482,1670367,18.75,18.81
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,65,5,0.02379,0.11228,83084,9329,392098,1239884,14.92,15
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,70,5,0.04012,0.18232,73755,13447,335158,847787,11.49,11.58
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,75,5,0.07249,0.30686,60308,18506,255275,512629,8.5,8.6
MYS,0,0,0,0,1,1488.01,2001,2001,4,2,80,99,0.16243,1,41802,41802,257354,257354,6.16,6.3
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,0,1,0.00702,0.00697,100000,697,99352,7061576,70.62,70.69
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,1,4,0.00051,0.00202,99303,201,396736,6962223,70.11,70.19
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,5,5,0.00035,0.00173,99102,171,495082,6565487,66.25,66.32
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,10,5,4e-04,0.00199,98931,197,494162,6070405,61.36,61.43
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,15,5,0.00117,0.00584,98734,577,492228,5576242,56.48,56.55
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,20,5,0.00155,0.00772,98157,758,488890,5084015,51.79,51.87
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,25,5,0.00171,0.00852,97399,830,484920,4595125,47.18,47.25
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,30,5,0.00213,0.01061,96569,1025,480282,4110205,42.56,42.64
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,35,5,0.00268,0.01332,95544,1273,474538,3629922,37.99,38.07
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,40,5,0.00368,0.01822,94271,1718,467060,3155385,33.47,33.55
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,45,5,0.00502,0.02481,92553,2296,457025,2688325,29.05,29.12
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,50,5,0.00791,0.03879,90257,3501,442532,2231300,24.72,24.8
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,55,5,0.01311,0.06349,86756,5508,420010,1788767,20.62,20.7
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,60,5,0.02106,0.10003,81248,8127,385922,1368757,16.85,16.93
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,65,5,0.03457,0.15911,73121,11634,336520,982835,13.44,13.54
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,70,5,0.05124,0.22712,61487,13965,272522,646315,10.51,10.62
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,75,5,0.07848,0.32804,47522,15589,198638,373792,7.87,8.01
MYS,0,0,0,0,1,1488.02,2002,2002,4,1,80,99,0.18231,1,31933,31933,175155,175155,5.49,5.7
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,0,1,0.00589,0.00586,100000,586,99454,7511234,75.11,75.22
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,1,4,0.00044,0.00175,99414,174,397224,7411780,74.55,74.66
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,5,5,0.00025,0.00125,99240,124,495890,7014557,70.68,70.78
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,10,5,0.00025,0.00126,99116,125,495268,6518667,65.77,65.87
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,15,5,0.00039,0.00193,98991,191,494478,6023399,60.85,60.95
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,20,5,0.00048,0.00239,98800,236,493410,5528922,55.96,56.07
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,25,5,0.00058,0.00289,98564,285,492108,5035512,51.09,51.19
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,30,5,0.00075,0.00376,98279,370,490470,4543404,46.23,46.34
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,35,5,0.00112,0.0056,97909,548,488175,4052934,41.39,41.5
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,40,5,0.00179,0.00889,97361,866,484640,3564759,36.61,36.72
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,45,5,0.00291,0.01445,96495,1394,478990,3080119,31.92,32.03
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,50,5,0.00483,0.02384,95101,2267,469838,2601129,27.35,27.46
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,55,5,0.00821,0.04024,92834,3736,454830,2131292,22.96,23.07
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,60,5,0.01388,0.06708,89098,5977,430548,1676462,18.82,18.93
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,65,5,0.02393,0.11291,83121,9385,392142,1245914,14.99,15.11
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,70,5,0.04058,0.18422,73736,13584,334720,853772,11.58,11.72
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,75,5,0.06838,0.29198,60152,17563,256852,519052,8.63,8.8
MYS,0,0,0,0,1,1488.02,2002,2002,4,2,80,99,0.16243,1,42589,42589,262199,262199,6.16,6.4
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,0,1,0.00724,0.00719,100000,719,99332,7073361,70.73,70.83
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,1,4,0.00051,0.00203,99281,202,396646,6974029,70.25,70.34
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,5,5,0.00034,0.00169,99079,167,494978,6577383,66.39,66.48
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,10,5,4e-04,0.00201,98912,199,494062,6082406,61.49,61.59
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,15,5,0.00115,0.00573,98713,566,492150,5588343,56.61,56.71
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,20,5,0.00148,0.0074,98147,726,488920,5096193,51.92,52.02
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,25,5,0.00168,0.00835,97421,813,485072,4607273,47.29,47.39
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,30,5,0.00211,0.01051,96608,1015,480502,4122201,42.67,42.77
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,35,5,0.00261,0.01297,95593,1240,474865,3641698,38.1,38.2
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,40,5,0.00364,0.01803,94353,1701,467512,3166833,33.56,33.66
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,45,5,0.00517,0.02551,92652,2364,457350,2699321,29.13,29.24
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,50,5,0.00776,0.03804,90288,3435,442852,2241971,24.83,24.94
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,55,5,0.01304,0.06312,86853,5482,420560,1799118,20.71,20.82
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,60,5,0.02066,0.0982,81371,7991,386878,1378558,16.94,17.06
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,65,5,0.03451,0.15884,73380,11656,337760,991681,13.51,13.64
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,70,5,0.05084,0.22555,61724,13922,273815,653921,10.59,10.75
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,75,5,0.07542,0.31727,47802,15166,201095,380106,7.95,8.15
MYS,0,0,0,0,1,1488.03,2003,2003,4,1,80,99,0.18231,1,32636,32636,179011,179011,5.49,5.8
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,0,1,0.00595,0.00592,100000,592,99448,7532320,75.32,75.48
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,1,4,0.00043,0.00173,99408,172,397204,7432872,74.77,74.92
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,5,5,0.00025,0.00124,99236,123,495872,7035668,70.9,71.05
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,10,5,0.00026,0.00131,99113,130,495240,6539795,65.98,66.14
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,15,5,0.00038,0.00191,98983,189,494442,6044555,61.07,61.22
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,20,5,0.00047,0.00235,98794,232,493390,5550113,56.18,56.33
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,25,5,0.00058,0.0029,98562,286,492095,5056723,51.3,51.46
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,30,5,0.00074,0.00369,98276,363,490472,4564628,46.45,46.6
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,35,5,0.00112,0.00557,97913,545,488202,4074155,41.61,41.76
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,40,5,0.00176,0.00875,97368,852,484710,3585953,36.83,36.98
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,45,5,0.00288,0.01429,96516,1379,479132,3101243,32.13,32.29
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,50,5,0.00472,0.02332,95137,2219,470138,2622110,27.56,27.72
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,55,5,0.00806,0.03949,92918,3669,455418,2151973,23.16,23.32
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,60,5,0.01353,0.06542,89249,5839,431648,1696555,19.01,19.18
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,65,5,0.02391,0.11279,83410,9408,393530,1264908,15.16,15.35
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,70,5,0.03925,0.17871,74002,13225,336948,871378,11.78,11.98
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,75,5,0.06323,0.273,60777,16592,262405,534430,8.79,9.04
MYS,0,0,0,0,1,1488.03,2003,2003,4,2,80,99,0.16243,1,44185,44185,272025,272025,6.16,6.5
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,0,1,0.00708,0.00703,100000,703,99347,7099917,71,71.12
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,1,4,5e-04,0.00199,99297,198,396719,7000570,70.5,70.62
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,5,5,0.00033,0.00165,99099,164,495085,6603851,66.64,66.76
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,10,5,0.00039,0.00197,98935,195,494188,6108766,61.75,61.86
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,15,5,0.00111,0.00555,98740,548,492330,5614579,56.86,56.98
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,20,5,0.0014,0.00698,98192,685,489248,5122249,52.17,52.28
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,25,5,0.00163,0.00812,97507,792,485555,4633001,47.51,47.63
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,30,5,0.00207,0.01032,96715,998,481080,4147446,42.88,43
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,35,5,0.00258,0.01281,95717,1226,475520,3666366,38.3,38.43
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,40,5,0.00359,0.0178,94491,1682,468250,3190846,33.77,33.89
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,45,5,0.00518,0.02555,92809,2371,458118,2722596,29.34,29.46
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,50,5,0.00764,0.03747,90438,3389,443718,2264479,25.04,25.17
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,55,5,0.0127,0.06154,87049,5357,421852,1820761,20.92,21.05
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,60,5,0.02018,0.09604,81692,7846,388845,1398909,17.12,17.25
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,65,5,0.03349,0.15452,73846,11411,340702,1010064,13.68,13.82
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,70,5,0.04948,0.22015,62435,13745,277812,669361,10.72,10.89
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,75,5,0.07225,0.306,48690,14899,206202,391549,8.04,8.26
MYS,0,0,0,0,1,1488.04,2004,2004,4,1,80,99,0.18231,1,33791,33791,185346,185346,5.49,5.8
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,0,1,0.00564,0.00561,100000,561,99476,7560981,75.61,75.82
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,1,4,0.00042,0.00166,99439,165,397346,7461504,75.04,75.24
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,5,5,0.00025,0.00124,99274,123,496062,7064158,71.16,71.36
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,10,5,0.00025,0.00127,99151,126,495440,6568096,66.24,66.45
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,15,5,0.00037,0.00185,99025,183,494668,6072656,61.32,61.53
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,20,5,0.00046,0.00229,98842,226,493645,5577988,56.43,56.64
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,25,5,0.00057,0.00283,98616,279,492382,5084343,51.56,51.76
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,30,5,0.00074,0.0037,98337,364,490775,4591961,46.7,46.9
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,35,5,0.00106,0.00527,97973,516,488575,4101186,41.86,42.07
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,40,5,0.00172,0.00857,97457,835,485198,3612611,37.07,37.28
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,45,5,0.00288,0.0143,96622,1382,479655,3127413,32.37,32.58
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,50,5,0.00463,0.0229,95240,2181,470748,2647758,27.8,28.01
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,55,5,0.00774,0.03798,93059,3534,456460,2177011,23.39,23.61
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,60,5,0.01304,0.06314,89525,5653,433492,1720551,19.22,19.44
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,65,5,0.02308,0.10911,83872,9151,396482,1287058,15.35,15.59
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,70,5,0.0381,0.17391,74721,12995,341118,890576,11.92,12.19
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,75,5,0.0599,0.26049,61726,16079,268432,549458,8.9,9.23
MYS,0,0,0,0,1,1488.04,2004,2004,4,2,80,99,0.16243,1,45647,45647,281026,281026,6.16,6.6
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,0,1,0.0069,0.00686,100000,686,99362,7126036,71.26,71.4
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,1,4,0.00048,0.00191,99314,190,396806,7026673,70.75,70.89
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,5,5,0.00032,0.00159,99124,158,495225,6629867,66.88,67.03
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,10,5,0.00038,0.00191,98966,189,494358,6134642,61.99,62.13
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,15,5,0.00102,0.00507,98777,501,492632,5640284,57.1,57.24
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,20,5,0.00132,0.00656,98276,645,489768,5147652,52.38,52.52
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,25,5,0.00158,0.00786,97631,767,486238,4657884,47.71,47.85
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,30,5,0.00206,0.01024,96864,992,481840,4171647,43.07,43.21
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,35,5,0.00255,0.01266,95872,1214,476325,3689807,38.49,38.63
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,40,5,0.0035,0.01737,94658,1644,469180,3213482,33.95,34.1
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,45,5,0.00517,0.02551,93014,2373,459138,2744302,29.5,29.65
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,50,5,0.00761,0.03735,90641,3385,444742,2285164,25.21,25.37
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,55,5,0.01227,0.05953,87256,5194,423295,1840422,21.09,21.25
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,60,5,0.01973,0.09401,82062,7715,391022,1417127,17.27,17.44
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,65,5,0.03219,0.14896,74347,11075,344048,1026104,13.8,13.99
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,70,5,0.04856,0.21651,63272,13699,282112,682057,10.78,11
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,75,5,0.07134,0.30273,49573,15007,210348,399944,8.07,8.35
MYS,0,0,0,0,1,1488.05,2005,2005,4,1,80,99,0.18231,1,34566,34566,189597,189597,5.49,5.9
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,0,1,0.00561,0.00558,100000,558,99479,7581046,75.81,76.03
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,1,4,0.00039,0.00156,99442,155,397383,7481567,75.24,75.45
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,5,5,0.00024,0.00122,99287,121,496132,7084184,71.35,71.57
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,10,5,0.00025,0.00123,99166,122,495525,6588051,66.43,66.65
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,15,5,0.00036,0.00182,99044,180,494770,6092526,61.51,61.72
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,20,5,0.00044,0.00222,98864,219,493772,5597756,56.62,56.83
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,25,5,0.00054,0.00271,98645,267,492558,5103984,51.74,51.95
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,30,5,0.00073,0.00365,98378,359,490992,4611426,46.87,47.09
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,35,5,0.00103,0.00513,98019,503,488838,4120434,42.04,42.25
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,40,5,0.0017,0.00847,97516,826,485515,3631596,37.24,37.46
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,45,5,0.00286,0.01419,96690,1372,480020,3146081,32.54,32.75
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,50,5,0.00466,0.02303,95318,2195,471102,2666061,27.97,28.19
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,55,5,0.0075,0.03683,93123,3430,457040,2194959,23.57,23.79
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,60,5,0.01257,0.06093,89693,5465,434802,1737919,19.38,19.61
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,65,5,0.02232,0.10569,84228,8902,398885,1303116,15.47,15.72
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,70,5,0.03679,0.16844,75326,12688,344910,904231,12,12.28
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,75,5,0.05905,0.25727,62638,16115,272902,559321,8.93,9.26
MYS,0,0,0,0,1,1488.05,2005,2005,4,2,80,99,0.16243,1,46523,46523,286419,286419,6.16,6.61
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,0,1,0.00682,0.00678,100000,678,99370,7142305,71.42,71.57
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,1,4,0.00047,0.00187,99322,186,396848,7042935,70.91,71.06
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,5,5,0.00031,0.00154,99136,153,495298,6646088,67.04,67.19
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,10,5,0.00037,0.00186,98983,184,494455,6150790,62.14,62.29
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,15,5,0.00096,0.00481,98799,475,492808,5656335,57.25,57.4
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,20,5,0.00126,0.0063,98324,619,490072,5163528,52.52,52.66
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,25,5,0.00149,0.00743,97705,726,486710,4673455,47.83,47.98
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,30,5,0.00203,0.01012,96979,981,482442,4186745,43.17,43.32
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,35,5,0.00257,0.01275,95998,1224,476930,3704303,38.59,38.74
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,40,5,0.00345,0.01708,94774,1619,469822,3227373,34.05,34.21
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,45,5,0.00507,0.02506,93155,2334,459940,2757550,29.6,29.76
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,50,5,0.00768,0.03767,90821,3421,445552,2297610,25.3,25.46
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,55,5,0.01185,0.05756,87400,5031,424422,1852058,21.19,21.36
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,60,5,0.01949,0.09294,82369,7655,392708,1427635,17.33,17.51
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,65,5,0.03119,0.14467,74714,10809,346548,1034928,13.85,14.05
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,70,5,0.04866,0.21693,63905,13863,284868,688380,10.77,11
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,75,5,0.07149,0.30327,50042,15176,212270,403513,8.06,8.35
MYS,0,0,0,0,1,1488.06,2006,2006,4,1,80,99,0.18231,1,34866,34866,191243,191243,5.49,5.9
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,0,1,0.00569,0.00566,100000,566,99472,7588984,75.89,76.11
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,1,4,0.00038,0.00152,99434,151,397361,7489512,75.32,75.54
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,5,5,0.00023,0.00117,99283,116,496125,7092151,71.43,71.65
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,10,5,0.00024,0.00121,99167,120,495535,6596026,66.51,66.73
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,15,5,0.00036,0.00178,99047,176,494795,6100491,61.59,61.8
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,20,5,0.00042,0.0021,98871,208,493835,5605696,56.7,56.91
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,25,5,0.00052,0.00261,98663,258,492670,5111861,51.81,52.02
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,30,5,0.00073,0.00364,98405,358,491130,4619191,46.94,47.15
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,35,5,0.00103,0.00516,98047,506,488970,4128061,42.1,42.32
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,40,5,0.00168,0.00839,97541,818,485660,3639091,37.31,37.52
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,45,5,0.00286,0.0142,96723,1373,480182,3153431,32.6,32.82
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,50,5,0.00461,0.02278,95350,2172,471320,2673249,28.04,28.26
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,55,5,0.00739,0.03626,93178,3379,457442,2201929,23.63,23.86
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,60,5,0.01231,0.0597,89799,5361,435592,1744486,19.43,19.66
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,65,5,0.02146,0.10184,84438,8599,400692,1308894,15.5,15.75
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,70,5,0.03667,0.16796,75839,12738,347350,908201,11.98,12.25
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,75,5,0.06031,0.26204,63101,16535,274168,560851,8.89,9.22
MYS,0,0,0,0,1,1488.06,2006,2006,4,2,80,99,0.16243,1,46566,46566,286684,286684,6.16,6.61
MYS,0,0,0,0,1,1488.07,2007,2007,4,1,0,1,0.00681,0.00677,100000,677,99371,7145319,71.45,71.65
MYS,0,0,0,0,1,1488.07,2007,2007,4,1,1,4,0.00046,0.00185,99323,184,396856,7045948,70.94,71.65
